"Species","B1","B2","B3","B4"
68,112.59,0.12504,-0.00010633,2.626
129,122.77,0.41477,-2.397e-05,2.7239
132,122.58,0.20684,-5.7669e-05,2.7719
221,337.22,0.11585,-8.1788e-06,3.2004
261,454.13,0.13672,-2.5473e-05,2.6247
313,94.985,0.24089,-4.9457e-05,2.8454
316,431.19,0.019385,-4.6628e-05,2.6776
318,118.8,0.21064,-7.1839e-05,2.7238
375,94.985,0.24089,-4.9457e-05,2.8454
402,60.548,0.29655,-6.5367e-05,2.8739
407,84.154,0.2452,-6.4831e-05,2.8221
531,194.75,0.17455,-4.5078e-05,2.732
544,73.722,0.22835,-8.0785e-05,2.7999
602,137.32,0.13993,-7.4308e-05,2.6999
621,232.88,0.20935,-3.3792e-05,2.7596
701,94.985,0.24089,-4.9457e-05,2.8454
731,326.3,0.19774,-3.2404e-05,2.6696
742,479.95,0.11037,-3.0495e-05,2.6521
746,61.217,0.28402,-0.00011838,2.631
802,138.51,0.17688,-7.041e-05,2.6666
830,151.65,0.25967,-4.4082e-05,2.672
833,167.98,0.28275,-4.6166e-05,2.5895
835,146.07,0.24217,-5.2693e-05,2.6322
922,39.018,0.38544,-8.7759e-05,2.7685
972,191.45,0.16087,-4.2091e-05,2.7469
