"DBH...9.OR.HT...40","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23"
"Species","B1","B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","0.0022","-7.32683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBH >= 9 AND HT >= 40 (Southeast and Central Alaska); DBH >= 9 AND HT > 110 (Kodiak and Afognak Islands, Alaska)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Species","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","4.5","-0.0052554","3.4947e-05","0.104477","7.76807","-9.4852e-06","-0.011351","0.005454154","0.8467","0.0009144","0.0003568","0.9","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBH >= 9 AND HT >= 40 AND HT <= 110 (Kodiak and Afognak Islands, Alaska)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Species","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","4.5","-0.0269451","0.00023794","0.148759","0.0974044","-1.45706e-05","-0.0156971","0.005454154","0.773","0.00134","0.000958","0.9","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
