"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP","NA."
"S26LEWA","ABAM",11,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEWA","ABCO",15,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEWA","ABGR",17,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEWA","ABLA",19,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEWA","ABPR",22,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEWA","CHLA",41,5,"CU081001","","PNW_coefs_7",41,""
"S26LEWA","CHNO",42,5,"CU000082","THPL","PNW_coefs_3",242,""
"S26LEWA","JUOC",64,5,"CU064012","","PNW_coefs_21",64,""
"S26LEWA","LALY",72,5,"CU000087","LAOC","PNW_coefs_2",73,""
"S26LEWA","LAOC",73,5,"CU000087","LAOC","PNW_coefs_2",73,""
"S26LEWA","CADE27",81,5,"CU081001","","PNW_coefs_7",81,""
"S26LEWA","PIBR",92,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LEWA","PIEN",93,5,"CU000082","PIGL","PNW_coefs_3",94,""
"S26LEWA","PISI",98,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LEWA","PIAL",101,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LEWA","PICO",108,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LEWA","PILA",117,5,"CU119005","","PNW_coefs_9",117,""
"S26LEWA","PIMO3",119,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LEWA","PIPO",122,5,"CU000092","PIPO","PNW_coefs_15",122,""
"S26LEWA","PIMO",133,5,"CU133001","","RMRS_coefs_5",133,""
"S26LEWA","PSME",202,5,"CU000092","PSME","PNW_coefs_15",202,""
"S26LEWA","TABR2",231,5,"CU000082","THPL","PNW_coefs_3",242,""
"S26LEWA","THPL",242,5,"CU000082","THPL","PNW_coefs_3",242,""
"S26LEWA","TSHE",263,5,"CU263004","","PNW_coefs_11",263,""
"S26LEWA","TSME",264,5,"CU264003","","PNW_coefs_12",264,""
"S26LEWA","2TE",299,5,"CU264003","","PNW_coefs_12",299,""
"S26LEWA","ACMA3",312,5,"CU351004","","PNW_coefs_13",312,""
"S26LEWA","ACNE2",313,5,"CU351004","","PNW_coefs_13",313,""
"S26LEWA","ACGL",321,5,"CU475001","","RMRS_coefs_5",321,""
"S26LEWA","ALRU2",351,5,"CU000087","ALRU2","PNW_coefs_2",351,""
"S26LEWA","ALRH2",352,5,"CU000087","ALRU2","PNW_coefs_2",351,""
"S26LEWA","BETUL",370,5,"CU351004","","PNW_coefs_13",370,""
"S26LEWA","BEOC2",374,5,"CU351004","","PNW_coefs_13",374,""
"S26LEWA","BEPA",375,5,"CU351004","","PNW_coefs_13",375,""
"S26LEWA","CHCHC4",431,5,"CU351004","","PNW_coefs_13",431,""
"S26LEWA","CELE3",475,5,"CU475001","","RMRS_coefs_5",475,""
"S26LEWA","CONU4",492,5,"CU351004","","PNW_coefs_13",492,""
"S26LEWA","CRATA",500,5,"CU351004","","PNW_coefs_13",500,""
"S26LEWA","FRAXI",540,5,"CU351004","","PNW_coefs_13",540,""
"S26LEWA","FRLA",542,5,"CU351004","","PNW_coefs_13",542,""
"S26LEWA","ILOP",591,5,"CU351004","","PNW_coefs_13",591,""
"S26LEWA","JUNI",602,5,"CU351004","","PNW_coefs_13",602,""
"S26LEWA","JUHI",603,5,"CU000025","QUKE","PNW_coefs_1",818,""
"S26LEWA","MALUS",660,5,"CU351004","","PNW_coefs_13",660,""
"S26LEWA","MAFU",661,5,"CU351004","","PNW_coefs_13",661,""
"S26LEWA","PLRA",730,5,"CU351004","","PNW_coefs_13",730,""
"S26LEWA","POTR5",746,5,"CU351004","","PNW_coefs_13",746,""
"S26LEWA","POBAT",747,5,"CU351004","","PNW_coefs_13",747,""
"S26LEWA","PRUNU",760,5,"CU351004","","PNW_coefs_13",760,""
"S26LEWA","PRVI",763,5,"CU351004","","PNW_coefs_13",763,""
"S26LEWA","PRAM",766,5,"CU351004","","PNW_coefs_13",766,""
"S26LEWA","PREM",768,5,"CU351004","","PNW_coefs_13",768,""
"S26LEWA","QUGA4",815,5,"CU351004","","PNW_coefs_13",815,""
"S26LEWA","QUKE",818,5,"CU351004","","PNW_coefs_13",818,""
"S26LEWA","ROPS",901,5,"CU351004","","PNW_coefs_13",901,""
"S26LEWA","SALIX",920,5,"CU351004","","PNW_coefs_13",920,""
"S26LEWA","OLTE",990,5,"CU755001","","RMRS_coefs_6",990,""
"S26LEWA","ELAN",997,5,"CU351004","","PNW_coefs_13",997,""
"S26LEWA","2TB",998,5,"CU351004","","PNW_coefs_13",998,""
"S26LEWA","2TREE",999,5,"CU351004","","PNW_coefs_13",999,""
