"Species","B1","B2","B3","B4","B5"
17,-0.563,0.00219,9.969,0.00197,47900
19,1.449,0.00183,26.222,0.00117,37500
68,-0.315878,0.002207,-0.104252,0.002145,NA
73,-0.056,0.0017,19.409,0.00132,51200
93,0.48,0.00214,19.041,0.00174,46400
108,1.052,0.00221,5.369,0.00197,18000
119,0.166,0.00206,4.508,0.00194,36200
122,-1.656,0.00203,-9.637,0.00218,53200
123,-0.013552,0.002453,0.870587,0.002205,NA
202,0.437,0.00178,7.702,0.00165,55900
242,1.141,0.00174,8.931,0.00146,27800
263,-0.991,0.00209,2.544,0.0021,0
313,-0.451948,0.001921,0.518892,0.001802,NA
400,-0.665929,0.001868,-0.793179,0.001884,NA
491,-0.347844,0.001837,-0.202284,0.001818,NA
544,-0.392822,0.001921,0.172701,0.001851,NA
552,-0.347844,0.001837,-0.202284,0.001818,NA
602,-0.033805,0.001656,0.42189,0.001596,NA
680,-0.347844,0.001837,-0.202284,0.001818,NA
731,0.229691,0.001901,2.326908,0.001649,NA
740,-0.749,0.00204,4.285,0.00194,50300
746,-0.343,0.00224,1.071,0.00217,20200
823,-0.279035,0.001894,0.248363,0.001823,NA
826,-0.279035,0.001894,0.248363,0.001823,NA
972,-0.155066,0.001828,-0.316005,0.001851,NA
999,-0.37883,0.001855,0.82352,0.00163,NA
