"CF_VOL_EQ","Coeff.Table","Source","AZ_N.NM_N","AZ_S.NM_S","CO_E.WY_E","CO_W.WY_W","ID..MT_W","MT_E","NV","UT_NE","UT_SW"
"CU000058","7","Moisen, unpublished (1989)",NA,"X",NA,"X","X","X","X",NA,NA
"CU000059","1","Unknown (NCRS)","X","X","X","X","X","X","X","X","X"
"CU000065","1","Kemp, unpublished (1958)","X","X","X","X","X","X","X","X","X"
"CU015002","8","Hann & Bare, 1978",NA,"X",NA,NA,NA,NA,NA,NA,NA
"CU015004","2","Hann & Bare, 1978","X",NA,NA,NA,NA,NA,NA,NA,"X"
"CU064004","3","Chojnacky, 1994","X","X","X","X","X","X","X","X","X"
"CU064006","3","Chojnacky, 1994","X","X","X","X","X","X","X","X","X"
"CU064010","PNW_21","Chittester & MacLean, 1984",NA,NA,NA,NA,"X","X","X",NA,NA
"CU093002","10","Myers & Edminster, 1972",NA,NA,"X","X",NA,NA,"X","X",NA
"CU093004","2","Hann & Bare, 1978","X","X",NA,NA,NA,NA,NA,NA,"X"
"CU106005","3","Chojnacky, 1994","X","X","X","X","X","X","X","X","X"
"CU108002","10","Myers, 1964a",NA,NA,"X","X",NA,NA,"X","X",NA
"CU113002","2","Hann & Bare, 1978","X","X","X","X","X","X","X","X","X"
"CU122002","11","Edminster, Beeson & Metcalf, 1980",NA,NA,NA,"X",NA,NA,"X","X",NA
"CU122004","10","Myers, 1964b",NA,NA,"X",NA,NA,"X",NA,NA,NA
"CU122008","9","Hann & Bare, 1978",NA,"X",NA,NA,NA,NA,NA,NA,NA
"CU122010","4","Hann & Bare, 1978","X",NA,NA,NA,NA,NA,NA,NA,"X"
"CU133001","5","Chojnacky, 1985","X","X","X","X","X","X","X","X","X"
"CU202002","8","Hann & Bare, 1978",NA,"X",NA,NA,NA,NA,NA,NA,NA
"CU202004","2","Hann & Bare, 1978","X",NA,NA,NA,NA,NA,NA,NA,"X"
"CU475001","5","Chojnacky, 1985","X","X","X","X","X","X","X","X","X"
"CU746002","10","Edminster, Mowrer & Hinds, 1982",NA,NA,"X","X",NA,NA,"X","X",NA
"CU746004","2","Hann & Bare, 1978","X","X",NA,NA,NA,NA,NA,NA,"X"
"CU755001","6","Chojnacky, 1988","X","X","X","X","X","X","X","X","X"
"CU800002","6","Chojnacky, 1988","X","X","X","X","X","X","X","X","X"
"CU814001","5","Chojnacky, 1985",NA,NA,"X","X","X","X","X","X","X"
